"sp","x","y"
"Sphagnum lindbergii",237185.48896029,908129.954835921
"Sphagnum lindbergii",223527.019303456,726800.584918172
"Sphagnum lindbergii",181701.826413961,935329.701508286
"Sphagnum lindbergii",255190.474629504,903121.088509601
"Sphagnum lindbergii",249989.03361059,782656.255306532
"Sphagnum lindbergii",157857.781127211,713344.125073534
"Sphagnum lindbergii",136941.667837954,606168.85661968
"Sphagnum lindbergii",183927.767539541,620434.067786311
"Sphagnum lindbergii",129715.307915329,607563.558723804
"Sphagnum lindbergii",254991.920884404,903689.728414672
"Sphagnum lindbergii",236610.356146963,909885.226620083
"Sphagnum lindbergii",128530.449816756,609277.253736113
"Sphagnum lindbergii",187776.878090245,618517.385598638
"Sphagnum lindbergii",137843.037222689,853566.715812143
"Sphagnum lindbergii",254756.622356322,902460.784079045
"Sphagnum lindbergii",249987.997581662,827936.932539461
"Sphagnum lindbergii",120583.174259856,615669.277918315
"Sphagnum lindbergii",134995.356222652,620393.405844834
"Sphagnum lindbergii",124301.198539746,624236.453262113
"Sphagnum lindbergii",241863.81775835,888407.645035481
"Sphagnum lindbergii",129145.263938793,607991.775687243
"Sphagnum lindbergii",249632.782335384,925324.730991326
"Sphagnum lindbergii",251848.838799332,827105.543264323
"Sphagnum lindbergii",223181.325475797,727735.724550855
"Sphagnum lindbergii",324319.60059207,692269.473652897
"Sphagnum lindbergii",319350.052659475,679991.542102482
"Sphagnum lindbergii",240051.117451623,952697.384496998
"Sphagnum lindbergii",332715.165323731,694539.747216555
"Sphagnum lindbergii",101510.005560216,733107.506103778
"Sphagnum lindbergii",163394.219016685,957840.701333475
"Sphagnum lindbergii",99844.1060808458,728741.671300383
"Sphagnum lindbergii",335730.933828359,680046.896653018
"Sphagnum lindbergii",107515.708138321,729292.071175109
"Sphagnum lindbergii",128704.775100275,737178.18895439
"Sphagnum lindbergii",135795.504871927,730509.625472354
"Sphagnum lindbergii",116943.760203658,631438.421745531
"Sphagnum lindbergii",112000.488845522,739058.883049024
"Sphagnum lindbergii",121448.220269043,738495.815775928
"Sphagnum lindbergii",98873.6828838227,729758.248877664
"Sphagnum lindbergii",112539.716710449,715825.197927981
"Sphagnum lindbergii",268527.093339407,694001.396597884
"Sphagnum lindbergii",173189.332204447,713269.631529779
"Sphagnum lindbergii",332320.583425848,697322.669331873
"Sphagnum lindbergii",109634.9210493,715287.993194171
"Sphagnum lindbergii",135502.926302599,656158.894285917
"Sphagnum lindbergii",108479.333380495,718495.520129305
"Sphagnum lindbergii",100289.929953787,728621.350075906
"Sphagnum lindbergii",99455.140533831,727431.280147531
"Sphagnum lindbergii",109352.295158155,718629.042896177
"Sphagnum lindbergii",115414.604262719,713791.005793515
"Sphagnum lindbergii",263396.98664829,710363.417884367
"Sphagnum lindbergii",108163.022607731,728864.344626904
"Sphagnum lindbergii",335884.644431465,681233.630040218
"Sphagnum lindbergii",174214.808006275,936263.983406348
"Sphagnum lindbergii",262178.901196684,950869.857015729
"Sphagnum lindbergii",319081.11324218,688246.997630992
"Sphagnum lindbergii",264141.793031404,709885.751415291
"Sphagnum lindbergii",147234.591099629,631230.993418996
"Sphagnum lindbergii",239608.544797719,950518.018396925
"Sphagnum lindbergii",114655.916227579,717689.000500953
"Sphagnum lindbergii",101922.692727056,734700.929341216
"Sphagnum lindbergii",101578.415634548,733042.170780692
"Sphagnum lindbergii",109765.120323915,714886.540910483
"Sphagnum lindbergii",106354.875905663,729757.861325248
"Sphagnum lindbergii",130203.448125147,733474.819057181
"Sphagnum lindbergii",99960.8089535631,727245.220986898
"Sphagnum lindbergii",108754.062226836,718257.304866144
"Sphagnum lindbergii",135460.216125287,656405.543445152
"Sphagnum lindbergii",174978.104701839,706211.286515994
"Sphagnum lindbergii",301937.909767868,682177.639904033
"Sphagnum lindbergii",270577.43111788,706192.641795828
"Sphagnum lindbergii",301812.29275315,682437.232554987
"Sphagnum lindbergii",157856.44949202,655780.84318875
"Sphagnum lindbergii",113132.275042222,736755.526100086
"Sphagnum lindbergii",241366.037323628,949759.475367551
"Sphagnum lindbergii",239417.621489646,951526.600213212
"Sphagnum lindbergii",324990.971862612,695746.878725288
"Sphagnum lindbergii",128984.605459809,736321.519390215
"Sphagnum lindbergii",135997.635660883,656339.181924206
"Sphagnum lindbergii",111964.457713648,739080.078684253
"Sphagnum lindbergii",106573.223413001,729212.901625067
"Sphagnum lindbergii",106360.611595967,729351.926332882
"Sphagnum lindbergii",326242.387978126,689504.19809893
